ID,Title,Acceptance,Difficulty,Locked
947,Most Stones Removed with Same Row or Column,54.9%,Medium,False
948,Bag of Tokens,40.1%,Medium,False
949,Largest Time for Given Digits,35.5%,Easy,False
950,Reveal Cards In Increasing Order,73.2%,Medium,False
951,Flip Equivalent Binary Trees,65.6%,Medium,False
952,Largest Component Size by Common Factor,29.0%,Hard,False
953,Verifying an Alien Dictionary,55.1%,Easy,False
954,Array of Doubled Pairs,35.6%,Medium,False
955,Delete Columns to Make Sorted II,32.8%,Medium,False
956,Tallest Billboard,38.6%,Hard,False
957,Prison Cells After N Days,39.1%,Medium,False
958,Check Completeness of a Binary Tree,51.1%,Medium,False
959,Regions Cut By Slashes,64.9%,Medium,False
960,Delete Columns to Make Sorted III,53.5%,Hard,False
961,N-Repeated Element in Size 2N Array,72.9%,Easy,False
962,Maximum Width Ramp,43.7%,Medium,False
963,Minimum Area Rectangle II,48.6%,Medium,False
964,Least Operators to Express Number,43.4%,Hard,False
965,Univalued Binary Tree,67.2%,Easy,False
966,Vowel Spellchecker,45.9%,Medium,False
967,Numbers With Same Consecutive Differences,38.6%,Medium,False
968,Binary Tree Cameras,36.6%,Hard,False
969,Pancake Sorting,64.7%,Medium,False
970,Powerful Integers,39.7%,Easy,False
971,Flip Binary Tree To Match Preorder Traversal,44.4%,Medium,False
972,Equal Rational Numbers,41.3%,Hard,False
973,K Closest Points to Origin,61.6%,Medium,False
974,Subarray Sums Divisible by K,47.6%,Medium,False
975,Odd Even Jump,43.8%,Hard,False
976,Largest Perimeter Triangle,57.2%,Easy,False
977,Squares of a Sorted Array,72.2%,Easy,False
978,Longest Turbulent Subarray,46.1%,Medium,False
979,Distribute Coins in Binary Tree,68.1%,Medium,False
980,Unique Paths III,72.4%,Hard,False
981,Time Based Key-Value Store,51.8%,Medium,False
982,Triples with Bitwise AND Equal To Zero,55.4%,Hard,False
983,Minimum Cost For Tickets,58.2%,Medium,False
984,String Without AAA or BBB,35.9%,Medium,False
985,Sum of Even Numbers After Queries,62.1%,Easy,False
986,Interval List Intersections,65.1%,Medium,False
987,Vertical Order Traversal of a Binary Tree,34.1%,Medium,False
988,Smallest String Starting From Leaf,45.0%,Medium,False
989,Add to Array-Form of Integer,44.1%,Easy,False
990,Satisfiability of Equality Equations,42.4%,Medium,False
991,Broken Calculator,44.2%,Medium,False
992,Subarrays with K Different Integers,46.3%,Hard,False
993,Cousins in Binary Tree,52.1%,Easy,False
994,Rotting Oranges,47.1%,Easy,False
995,Minimum Number of K Consecutive Bit Flips,46.6%,Hard,False
996,Number of Squareful Arrays,47.5%,Hard,False
997,Find the Town Judge,49.8%,Easy,False
998,Maximum Binary Tree II,61.9%,Medium,False
999,Available Captures for Rook,66.0%,Easy,False
1000,Minimum Cost to Merge Stones,38.7%,Hard,False
1001,Grid Illumination,35.1%,Hard,False
1002,Find Common Characters,66.6%,Easy,False
1003,Check If Word Is Valid After Substitutions,53.9%,Medium,False
1004,Max Consecutive Ones III,56.4%,Medium,False
1005,Maximize Sum Of Array After K Negations,50.7%,Easy,False
1006,Clumsy Factorial,53.6%,Medium,False
1007,Minimum Domino Rotations For Equal Row,50.1%,Medium,False
1008,Construct Binary Search Tree from Preorder Traversal,75.0%,Medium,False
1009,Complement of Base 10 Integer,59.5%,Easy,False
1010,Pairs of Songs With Total Durations Divisible by 60,46.9%,Easy,False
1011,Capacity To Ship Packages Within D Days,56.4%,Medium,False
1012,Numbers With Repeated Digits,36.5%,Hard,False
1013,Partition Array Into Three Parts With Equal Sum,57.1%,Easy,False
1014,Best Sightseeing Pair,51.7%,Medium,False
1015,Smallest Integer Divisible by K,31.1%,Medium,False
1016,Binary String With Substrings Representing 1 To N,59.2%,Medium,False
1017,Convert to Base -2,58.0%,Medium,False
1018,Binary Prefix Divisible By 5,47.0%,Easy,False
1019,Next Greater Node In Linked List,56.7%,Medium,False
1020,Number of Enclaves,55.5%,Medium,False
1021,Remove Outermost Parentheses,76.6%,Easy,False
1022,Sum of Root To Leaf Binary Numbers,64.4%,Easy,False
1023,Camelcase Matching,55.5%,Medium,False
1024,Video Stitching,48.3%,Medium,False
1025,Divisor Game,65.6%,Easy,False
1026,Maximum Difference Between Node and Ancestor,62.6%,Medium,False
1027,Longest Arithmetic Sequence,53.1%,Medium,False
1028,Recover a Tree From Preorder Traversal,69.5%,Hard,False
1029,Two City Scheduling,55.6%,Easy,False
1030,Matrix Cells in Distance Order,64.8%,Easy,False
1031,Maximum Sum of Two Non-Overlapping Subarrays,55.9%,Medium,False
1032,Stream of Characters,46.3%,Hard,False
1033,Moving Stones Until Consecutive,39.6%,Easy,False
1034,Coloring A Border,43.9%,Medium,False
1035,Uncrossed Lines,53.3%,Medium,False
1036,Escape a Large Maze,35.7%,Hard,False
1037,Valid Boomerang,37.6%,Easy,False
1038,Binary Search Tree to Greater Sum Tree,79.1%,Medium,False
1039,Minimum Score Triangulation of Polygon,46.4%,Medium,False
1040,Moving Stones Until Consecutive II,51.7%,Medium,False
1041,Robot Bounded In Circle,47.5%,Medium,False
1042,Flower Planting With No Adjacent,48.1%,Easy,False
1043,Partition Array for Maximum Sum,63.4%,Medium,False
1044,Longest Duplicate Substring,25.0%,Hard,False
1045,Customers Who Bought All Products,68.3%,Medium,True
1046,Last Stone Weight,62.6%,Easy,False
1047,Remove All Adjacent Duplicates In String,66.2%,Easy,False
1048,Longest String Chain,52.8%,Medium,False
1049,Last Stone Weight II,42.7%,Medium,False
1050,Actors and Directors Who Cooperated At Least Three Times,71.8%,Easy,True
1051,Height Checker,68.5%,Easy,False
1052,Grumpy Bookstore Owner,54.2%,Medium,False
1053,Previous Permutation With One Swap,47.8%,Medium,False
1054,Distant Barcodes,40.6%,Medium,False
1055,Shortest Way to Form String,56.9%,Medium,True
1056,Confusing Number,50.3%,Easy,True
1057,Campus Bikes,58.2%,Medium,True
1058,Minimize Rounding Error to Meet Target,41.6%,Medium,True
1059,All Paths from Source Lead to Destination,45.4%,Medium,True
1060,Missing Element in Sorted Array,54.7%,Medium,True
1061,Lexicographically Smallest Equivalent String,64.1%,Medium,True
1062,Longest Repeating Substring,54.1%,Medium,True
1063,Number of Valid Subarrays,69.8%,Hard,True
1064,Fixed Point,69.0%,Easy,True
1065,Index Pairs of a String,59.1%,Easy,True
1066,Campus Bikes II,53.5%,Medium,True
1067,Digit Count in Range,37.8%,Hard,True
1068,Product Sales Analysis I,86.0%,Easy,True
1069,Product Sales Analysis II,85.1%,Easy,True
1070,Product Sales Analysis III,49.5%,Medium,True
1071,Greatest Common Divisor of Strings,53.6%,Easy,False
1072,Flip Columns For Maximum Number of Equal Rows,60.1%,Medium,False
1073,Adding Two Negabinary Numbers,33.4%,Medium,False
1074,Number of Submatrices That Sum to Target,60.4%,Hard,False
1075,Project Employees I,63.6%,Easy,True
1076,Project Employees II,53.4%,Easy,True
1077,Project Employees III,73.3%,Medium,True
1078,Occurrences After Bigram,64.5%,Easy,False
1079,Letter Tile Possibilities,74.6%,Medium,False
1080,Insufficient Nodes in Root to Leaf Paths,46.9%,Medium,False
1081,Smallest Subsequence of Distinct Characters,45.9%,Medium,False
1082,Sales Analysis I,71.8%,Easy,True
1083,Sales Analysis II,52.0%,Easy,True
1084,Sales Analysis III,55.1%,Easy,True
1085,Sum of Digits in the Minimum Number,74.5%,Easy,True
1086,High Five,77.2%,Easy,True
1087,Brace Expansion,61.6%,Medium,True
1088,Confusing Number II,40.1%,Hard,True
1089,Duplicate Zeros,58.7%,Easy,False
1090,Largest Values From Labels,58.2%,Medium,False
1091,Shortest Path in Binary Matrix,37.3%,Medium,False
1092,Shortest Common Supersequence,50.5%,Hard,False
1093,Statistics from a Large Sample,46.2%,Medium,False
1094,Car Pooling,56.7%,Medium,False
1095,Find in Mountain Array,35.4%,Hard,False
1096,Brace Expansion II,61.5%,Hard,False
1097,Game Play Analysis V,54.5%,Hard,True
1098,Unpopular Books,42.9%,Medium,True
1099,Two Sum Less Than K,60.4%,Easy,True
1100,Find K-Length Substrings With No Repeated Characters,71.7%,Medium,True
1101,The Earliest Moment When Everyone Become Friends,64.9%,Medium,True
1102,Path With Maximum Minimum Value,49.3%,Medium,True
1103,Distribute Candies to People,60.2%,Easy,False
1104,Path In Zigzag Labelled Binary Tree,70.9%,Medium,False
1105,Filling Bookcase Shelves,57.3%,Medium,False
1106,Parsing A Boolean Expression,58.2%,Hard,False
1107,New Users Daily Count,45.0%,Medium,True
1108,Defanging an IP Address,85.9%,Easy,False
1109,Corporate Flight Bookings,50.7%,Medium,False
1110,Delete Nodes And Return Forest,65.0%,Medium,False
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,68.8%,Medium,False
1112,Highest Grade For Each Student,65.8%,Medium,True
1113,Reported Posts,62.3%,Easy,True
1114,Print in Order,62.9%,Easy,False
1115,Print FooBar Alternately,57.7%,Medium,False
1116,Print Zero Even Odd,54.0%,Medium,False
1117,Building H2O,50.9%,Medium,False
1118,Number of Days in a Month,56.8%,Easy,True
1119,Remove Vowels from a String,88.7%,Easy,True
1120,Maximum Average Subtree,61.9%,Medium,True
1121,Divide Array Into Increasing Sequences,55.9%,Hard,True
1122,Relative Sort Array,67.3%,Easy,False
1123,Lowest Common Ancestor of Deepest Leaves,65.4%,Medium,False
1124,Longest Well-Performing Interval,32.2%,Medium,False
1125,Smallest Sufficient Team,45.7%,Hard,False
1126,Active Businesses,71.1%,Medium,True
1127,User Purchase Platform,47.7%,Hard,True
1128,Number of Equivalent Domino Pairs,46.8%,Easy,False
1129,Shortest Path with Alternating Colors,37.8%,Medium,False
1130,Minimum Cost Tree From Leaf Values,64.7%,Medium,False
1131,Maximum of Absolute Value Expression,53.0%,Medium,False
1132,Reported Posts II,34.3%,Medium,True
1133,Largest Unique Number,66.7%,Easy,True
1134,Armstrong Number,77.9%,Easy,True
1135,Connecting Cities With Minimum Cost,56.2%,Medium,True
1136,Parallel Courses,60.7%,Hard,True
1137,N-th Tribonacci Number,57.1%,Easy,False
1138,Alphabet Board Path,46.0%,Medium,False
1139,Largest 1-Bordered Square,45.8%,Medium,False
1140,Stone Game II,60.5%,Medium,False
1141,User Activity for the Past 30 Days I,53.9%,Easy,True
1142,User Activity for the Past 30 Days II,34.9%,Easy,True
1143,Longest Common Subsequence,57.7%,Medium,False
1144,Decrease Elements To Make Array Zigzag,44.4%,Medium,False
1145,Binary Tree Coloring Game,50.5%,Medium,False
1146,Snapshot Array,35.7%,Medium,False
1147,Longest Chunked Palindrome Decomposition,57.9%,Hard,False
1148,Article Views I,74.8%,Easy,True
1149,Article Views II,47.8%,Medium,True
1150,Check If a Number Is Majority Element in a Sorted Array,60.4%,Easy,True
1151,Minimum Swaps to Group All 1's Together,58.6%,Medium,True
1152,Analyze User Website Visit Pattern,42.3%,Medium,True
1153,String Transforms Into Another String,34.8%,Hard,True
1154,Day of the Year,48.9%,Easy,False
1155,Number of Dice Rolls With Target Sum,49.7%,Medium,False
1156,Swap For Longest Repeated Character Substring,47.7%,Medium,False
1157,Online Majority Element In Subarray,36.2%,Hard,False
1158,Market Analysis I,57.8%,Medium,True
1159,Market Analysis II,51.1%,Hard,True
1160,Find Words That Can Be Formed by Characters,67.0%,Easy,False
1161,Maximum Level Sum of a Binary Tree,71.2%,Medium,False
1162,As Far from Land as Possible,41.6%,Medium,False
1163,Last Substring in Lexicographical Order,32.4%,Hard,False
1164,Product Price at a Given Date,61.3%,Medium,True
1165,Single-Row Keyboard,84.5%,Easy,True
1166,Design File System,56.9%,Medium,True
1167,Minimum Cost to Connect Sticks,61.6%,Medium,True
1168,Optimize Water Distribution in a Village,59.3%,Hard,True
1169,Invalid Transactions,29.8%,Medium,False
1170,Compare Strings by Frequency of the Smallest Character,58.3%,Easy,False
1171,Remove Zero Sum Consecutive Nodes from Linked List,41.4%,Medium,False
1172,Dinner Plate Stacks,39.4%,Hard,False
1173,Immediate Food Delivery I,78.0%,Easy,True
1174,Immediate Food Delivery II,57.4%,Medium,True
1175,Prime Arrangements,50.6%,Easy,False
1176,Diet Plan Performance,52.2%,Easy,True
1177,Can Make Palindrome from Substring,32.8%,Medium,False
1178,Number of Valid Words for Each Puzzle,37.2%,Hard,False
1179,Reformat Department Table,78.0%,Easy,False
1180,Count Substrings with Only One Distinct Letter,76.5%,Easy,True
1181,Before and After Puzzle,44.2%,Medium,True
1182,Shortest Distance to Target Color,51.9%,Medium,True
1183,Maximum Number of Ones,52.1%,Hard,True
1184,Distance Between Bus Stops,55.4%,Easy,False
1185,Day of the Week,64.3%,Easy,False
1186,Maximum Subarray Sum with One Deletion,35.3%,Medium,False
1187,Make Array Strictly Increasing,40.5%,Hard,False
1188,Design Bounded Blocking Queue,68.0%,Medium,True
1189,Maximum Number of Balloons,60.9%,Easy,False
1190,Reverse Substrings Between Each Pair of Parentheses,59.5%,Medium,False
1191,K-Concatenation Maximum Sum,25.7%,Medium,False
1192,Critical Connections in a Network,48.2%,Hard,False
1193,Monthly Transactions I,67.4%,Medium,True
1194,Tournament Winners,55.0%,Hard,True
1195,Fizz Buzz Multithreaded,66.4%,Medium,False
1196,How Many Apples Can You Put into the Basket,67.8%,Easy,True
1197,Minimum Knight Moves,32.9%,Medium,True
1198,Find Smallest Common Element in All Rows,74.3%,Medium,True
1199,Minimum Time to Build Blocks,35.3%,Hard,True
1200,Minimum Absolute Difference,66.2%,Easy,False
1201,Ugly Number III,25.0%,Medium,False
1202,Smallest String With Swaps,43.4%,Medium,False
1203,Sort Items by Groups Respecting Dependencies,45.8%,Hard,False
1204,Last Person to Fit in the Elevator,68.4%,Medium,True
1205,Monthly Transactions II,44.1%,Medium,True
1206,Design Skiplist,57.5%,Hard,False
1207,Unique Number of Occurrences,71.4%,Easy,False
1208,Get Equal Substrings Within Budget,38.5%,Medium,False
1209,Remove All Adjacent Duplicates in String II,56.6%,Medium,False
1210,Minimum Moves to Reach Target with Rotations,44.0%,Hard,False
1211,Queries Quality and Percentage,67.7%,Easy,True
1212,Team Scores in Football Tournament,53.5%,Medium,True
1213,Intersection of Three Sorted Arrays,77.4%,Easy,True
1214,Two Sum BSTs,65.8%,Medium,True
1215,Stepping Numbers,37.9%,Medium,True
1216,Valid Palindrome III,45.7%,Hard,True
1217,Play with Chips,63.9%,Easy,False
1218,Longest Arithmetic Subsequence of Given Difference,42.0%,Medium,False
1219,Path with Maximum Gold,63.1%,Medium,False
1220,Count Vowels Permutation,52.4%,Hard,False
1221,Split a String in Balanced Strings,81.2%,Easy,False
1222,Queens That Can Attack the King,67.9%,Medium,False
1223,Dice Roll Simulation,43.4%,Medium,False
1224,Maximum Equal Frequency,32.9%,Hard,False
1225,Report Contiguous Dates,63.2%,Hard,True
1226,The Dining Philosophers,46.4%,Medium,False
1227,Airplane Seat Assignment Probability,59.0%,Medium,False
1228,Missing Number In Arithmetic Progression,53.1%,Easy,True
1229,Meeting Scheduler,44.8%,Medium,True
1230,Toss Strange Coins,45.9%,Medium,True
1231,Divide Chocolate,51.2%,Hard,True
1232,Check If It Is a Straight Line,46.9%,Easy,False
1233,Remove Sub-Folders from the Filesystem,56.0%,Medium,False
1234,Replace the Substring for Balanced String,31.2%,Medium,False
1235,Maximum Profit in Job Scheduling,44.0%,Hard,False
1236,Web Crawler,64.0%,Medium,True
1237,Find Positive Integer Solution for a Given Equation,67.8%,Easy,False
1238,Circular Permutation in Binary Representation,61.6%,Medium,False
1239,Maximum Length of a Concatenated String with Unique Characters,44.9%,Medium,False
1240,Tiling a Rectangle with the Fewest Squares,49.0%,Hard,False
1241,Number of Comments per Post,70.7%,Easy,True
1242,Web Crawler Multithreaded,44.0%,Medium,True
1243,Array Transformation,52.6%,Easy,True
1244,Design A Leaderboard,55.2%,Medium,True
1245,Tree Diameter,56.3%,Medium,True
1246,Palindrome Removal,44.6%,Hard,True
1247,Minimum Swaps to Make Strings Equal,58.4%,Medium,False
1248,Count Number of Nice Subarrays,54.0%,Medium,False
1249,Minimum Remove to Make Valid Parentheses,60.0%,Medium,False
1250,Check If It Is a Good Array,51.8%,Hard,False
1251,Average Selling Price,77.8%,Easy,True
1252,Cells with Odd Values in a Matrix,77.8%,Easy,False
1253,Reconstruct a 2-Row Binary Matrix,38.9%,Medium,False
1254,Number of Closed Islands,59.6%,Medium,False
1255,Maximum Score Words Formed by Letters,69.3%,Hard,False
1256,Encode Number,63.9%,Medium,True
1257,Smallest Common Region,56.3%,Medium,True
1258,Synonymous Sentences,61.2%,Medium,True
1259,Handshakes That Don't Cross,52.7%,Hard,True
1260,Shift 2D Grid,60.5%,Easy,False
1261,Find Elements in a Contaminated Binary Tree,72.8%,Medium,False
1262,Greatest Sum Divisible by Three,42.9%,Medium,False
1263,Minimum Moves to Move a Box to Their Target Location,39.1%,Hard,False
1264,Page Recommendations,64.7%,Medium,True
1265,Print Immutable Linked List in Reverse,95.2%,Medium,True
1266,Minimum Time Visiting All Points,79.2%,Easy,False
1267,Count Servers that Communicate,58.7%,Medium,False
1268,Search Suggestions System,58.7%,Medium,False
1269,Number of Ways to Stay in the Same Place After Some Steps,40.8%,Hard,False
1270,All People Report to the Given Manager,83.4%,Medium,True
1271,Hexspeak,52.8%,Easy,True
1272,Remove Interval,56.0%,Medium,True
1273,Delete Tree Nodes,62.2%,Medium,True
1274,Number of Ships in a Rectangle,65.3%,Hard,True
1275,Find Winner on a Tic Tac Toe Game,53.8%,Easy,False
1276,Number of Burgers with No Waste of Ingredients,49.6%,Medium,False
1277,Count Square Submatrices with All Ones,67.8%,Medium,False
1278,Palindrome Partitioning III,57.5%,Hard,False
1279,Traffic Light Controlled Intersection,77.8%,Easy,True
1280,Students and Examinations,68.2%,Easy,True
1281,Subtract the Product and Sum of Digits of an Integer,84.6%,Easy,False
1282,Group the People Given the Group Size They Belong To,83.6%,Medium,False
1283,Find the Smallest Divisor Given a Threshold,40.6%,Medium,False
1284,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,69.5%,Hard,False
1285,Find the Start and End Number of Continuous Ranges,79.2%,Medium,True
1286,Iterator for Combination,64.9%,Medium,False
1287,Element Appearing More Than 25% In Sorted Array,60.1%,Easy,False
1288,Remove Covered Intervals,61.1%,Medium,False
1289,Minimum Falling Path Sum II,57.4%,Hard,False
1290,Convert Binary Number in a Linked List to Integer,80.2%,Easy,False
1291,Sequential Digits,51.5%,Medium,False
1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,44.5%,Medium,False
1293,Shortest Path in a Grid with Obstacles Elimination,41.0%,Hard,False
1294,Weather Type in Each Country,63.5%,Easy,True
1295,Find Numbers with Even Number of Digits,84.6%,Easy,False
1296,Divide Array in Sets of K Consecutive Numbers,48.2%,Medium,False
1297,Maximum Number of Occurrences of a Substring,43.8%,Medium,False
1298,Maximum Candies You Can Get from Boxes,58.0%,Hard,False
1299,Replace Elements with Greatest Element on Right Side,76.2%,Easy,False
1300,Sum of Mutated Array Closest to Target,46.1%,Medium,False
1301,Number of Paths with Max Score,36.0%,Hard,False
1302,Deepest Leaves Sum,83.6%,Medium,False
1303,Find the Team Size,85.6%,Easy,True
1304,Find N Unique Integers Sum up to Zero,77.0%,Easy,False
1305,All Elements in Two Binary Search Trees,74.5%,Medium,False
1306,Jump Game III,61.3%,Medium,False
1307,Verbal Arithmetic Puzzle,37.3%,Hard,False
1308,Running Total for Different Genders,81.8%,Medium,True
1309,Decrypt String from Alphabet to Integer Mapping,76.9%,Easy,False
1310,XOR Queries of a Subarray,66.2%,Medium,False
1311,Get Watched Videos by Your Friends,42.0%,Medium,False
1312,Minimum Insertion Steps to Make a String Palindrome,55.0%,Hard,False
1313,Decompress Run-Length Encoded List,85.3%,Easy,False
1314,Matrix Block Sum,71.9%,Medium,False
1315,Sum of Nodes with Even-Valued Grandparent,83.5%,Medium,False
1316,Distinct Echo Substrings,45.2%,Hard,False
1317,Convert Integer to the Sum of Two No-Zero Integers,58.0%,Easy,False
1318,Minimum Flips to Make a OR b Equal to c,61.1%,Medium,False
1319,Number of Operations to Make Network Connected,50.5%,Medium,False
1320,Minimum Distance to Type a Word Using Two Fingers,55.2%,Hard,False
1321,Restaurant Growth,64.0%,Medium,True
1322,Ads Performance,58.4%,Easy,True
1323,Maximum 69 Number,79.2%,Easy,False
1324,Print Words Vertically,58.6%,Medium,False
1325,Delete Leaves With a Given Value,73.0%,Medium,False
1326,Minimum Number of Taps to Open to Water a Garden,40.8%,Hard,False
1327,List the Products Ordered in a Period,71.1%,Easy,True
1328,Break a Palindrome,40.3%,Medium,False
1329,Sort the Matrix Diagonally,77.6%,Medium,False
1330,Reverse Subarray To Maximize Array Value,29.6%,Hard,False
1331,Rank Transform of an Array,59.9%,Easy,False
1332,Remove Palindromic Subsequences,55.5%,Easy,False
1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",52.6%,Medium,False
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,40.9%,Medium,False
1335,Minimum Difficulty of a Job Schedule,54.7%,Hard,False
1336,Number of Transactions per Visit,46.6%,Hard,True
1337,The K Weakest Rows in a Matrix,69.0%,Easy,False
1338,Reduce Array Size to The Half,66.9%,Medium,False
1339,Maximum Product of Splitted Binary Tree,35.4%,Medium,False
1340,Jump Game V,54.8%,Hard,False
1341,Movie Rating ,53.0%,Medium,True
1342,Number of Steps to Reduce a Number to Zero,88.8%,Easy,False
1343,Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,64.1%,Medium,False
1344,Angle Between Hands of a Clock,61.8%,Medium,False
1345,Jump Game IV,33.1%,Hard,False
1346,Check If N and Its Double Exist,42.0%,Easy,False
1347,Minimum Number of Steps to Make Two Strings Anagram,76.5%,Medium,False
1348,Tweet Counts Per Frequency,24.3%,Medium,False
1349,Maximum Students Taking Exam,35.0%,Hard,False
1350,Students With Invalid Departments ,90.5%,Easy,True
